Timestamp;Temp;Hum;Bar;Rain
1605144600;10.2;80;1025.2;0.0
1605145200;10.2;80;1025.1;0.0
1605145800;10.2;80;1025.0;0.0
1605146400;10.2;80;1024.9;0.0
1605147000;10.2;80;1024.9;0.0
1605147600;10.2;80;1024.8;0.0
1605148200;10.2;80;1024.7;0.0
1605148800;10.2;80;1024.5;0.0
1605149400;10.2;80;1024.5;0.0
1605150000;10.1;80;1024.6;0.0
1605150600;10.1;80;1024.6;0.0
1605151200;10.1;79;1024.5;0.0
1605151800;10.1;79;1024.6;0.0
1605152400;10.0;79;1024.5;0.0
1605153000;10.1;79;1024.5;0.0
1605153600;10.0;79;1024.6;0.0
1605154200;10.1;79;1024.6;0.0
1605154800;10.1;79;1024.6;0.0
1605155400;10.1;79;1024.6;0.0
1605156000;10.1;79;1024.7;0.0
1605156600;10.2;79;1024.8;0.0
1605157200;10.2;79;1024.8;0.0
1605157800;10.2;80;1024.8;0.0
1605158400;10.2;80;1024.7;0.0
1605159000;10.2;80;1024.7;0.0
1605159600;10.2;80;1024.8;0.0
1605160200;10.2;80;1024.8;0.0
1605160800;10.2;80;1025.0;0.0
1605161400;10.2;80;1025.0;0.0
1605162000;10.2;80;1025.1;0.0
1605162600;10.2;80;1025.0;0.0
1605163200;10.2;80;1025.2;0.0
1605163800;10.2;80;1025.2;0.0
1605164400;10.2;80;1025.3;0.0
1605165000;10.1;80;1025.4;0.0
1605165600;10.1;81;1025.4;0.0
1605166200;10.0;82;1025.4;0.0
1605166800;10.0;82;1025.3;0.0
1605167400;10.2;82;1025.5;0.0
1605168000;10.2;82;1025.6;0.0
1605168600;10.5;82;1025.5;0.0
1605169200;10.7;82;1025.6;0.0
1605169800;10.8;82;1025.7;0.0
1605170400;11.2;82;1025.7;0.0
1605171000;11.6;81;1025.8;0.0
1605171600;11.7;81;1025.8;0.0
1605172200;11.9;80;1025.9;0.0
1605172800;12.0;79;1025.9;0.0
1605173400;12.5;78;1025.9;0.0
1605174000;12.7;76;1025.8;0.0
1605174600;12.7;75;1025.9;0.0
1605175200;12.6;75;1025.8;0.0
1605175800;12.7;75;1025.7;0.0
1605176400;12.7;75;1025.8;0.0
1605177000;12.9;75;1025.8;0.0
1605177600;13.1;74;1025.7;0.0
1605178200;13.2;74;1025.5;0.0
1605178800;13.6;73;1025.4;0.0
1605179400;14.0;72;1025.4;0.0
1605180000;14.4;71;1025.3;0.0
1605180600;14.5;71;1025.2;0.0
1605181200;14.5;72;1025.2;0.0
1605181800;14.4;72;1025.1;0.0
1605182400;14.3;73;1025.0;0.0
1605183000;14.2;73;1024.8;0.0
1605183600;14.1;73;1024.8;0.0
1605184200;13.9;74;1024.7;0.0
1605184800;13.8;75;1024.7;0.0
1605185400;13.8;75;1024.7;0.0
1605186000;13.9;75;1024.6;0.0
