-76.38	-76.62	-67.29	-73.07	-77.77	-82.38	-84.80	-83.94	-82.55	-72.10
-75.95	-73.35	-67.89	-71.02	-68.38	-69.09	-69.75	-69.04	-69.42	-64.87
-66.30	-64.70	-60.16	-63.47	-61.34	-63.01	-60.49	-61.09	-58.16	-53.90
-70.60	-77.00	-72.15	-72.22	-68.55	-67.15	-69.87	-70.51	-69.73	-67.11
-65.29	-65.06	-61.78	-68.30	-69.25	-60.33	-60.48	-59.47	-58.71	-55.35
-80.05	-81.34	-76.70	-77.34	-75.13	-73.16	-72.14	-72.63	-74.17	-77.31
-55.59	-54.08	-50.65	-52.98	-49.27	-48.77	-48.99	-49.31	-47.44	-42.79
-63.30	-66.36	-61.68	-62.38	-58.18	-54.58	-55.11	-54.33	-54.96	-49.86
-68.75	-64.97	-60.85	-65.55	-63.89	-59.49	-60.79	-59.51	-61.96	-53.75
-71.81	-70.32	-66.83	-69.42	-64.76	-64.12	-63.75	-64.36	-65.42	-60.64
-67.83	-69.91	-63.82	-66.93	-64.37	-61.63	-62.49	-60.91	-60.51	-56.84
